Learning Rate=constant, Iteration=500, Training MSE = 0.5953
Learning Rate=constant, Iteration=1000, Training MSE = 0.5953
Learning Rate=constant, Iteration=2000, Training MSE = 0.5953
Learning Rate=constant, Iteration=500, Training MSE = 0.5439
Learning Rate=constant, Iteration=1000, Training MSE = 0.5439
Learning Rate=constant, Iteration=2000, Training MSE = 0.5439
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5438
Learning Rate=constant, Iteration=500, Training MSE = 0.5952
Learning Rate=constant, Iteration=1000, Training MSE = 0.5952
Learning Rate=constant, Iteration=2000, Training MSE = 0.5952
Learning Rate=constant, Iteration=500, Training MSE = 0.5439
Learning Rate=constant, Iteration=1000, Training MSE = 0.5439
Learning Rate=constant, Iteration=2000, Training MSE = 0.5439
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=optimal, Iteration=500, Training MSE = 0.5687
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=500, Training MSE = 0.5687
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5687
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5438
Learning Rate=constant, Iteration=500, Training MSE = 0.5874
Learning Rate=constant, Iteration=1000, Training MSE = 0.5874
Learning Rate=constant, Iteration=2000, Training MSE = 0.5874
Learning Rate=constant, Iteration=500, Training MSE = 0.5448
Learning Rate=constant, Iteration=1000, Training MSE = 0.5448
Learning Rate=constant, Iteration=2000, Training MSE = 0.5448
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5429
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5429
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5429
Learning Rate=optimal, Iteration=500, Training MSE = 0.5523
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5523
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5523
Learning Rate=optimal, Iteration=500, Training MSE = 0.5523
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5523
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5523
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5439
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5439
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5439
Best parameters: {'alpha': 0.0001, 'learning_rate': 'adaptive', 'eta0': 0.01, 'max_iter': 500}
Explained variance: 0.3213, Bias: [5.78717167]
Weights: [ 0.0743224  -0.1925495   0.02211341  0.16721579 -0.02562908  0.12492398
 -0.15111438 -0.17186991  0.08507857  0.12545151  0.31213117]
