Iteration = 500: alpha: 0.0001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5953
Iteration = 1000: alpha: 0.0001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5953
Iteration = 2000: alpha: 0.0001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5953
Iteration = 500: alpha: 0.0001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 1000: alpha: 0.0001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 2000: alpha: 0.0001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 500: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5427
Iteration = 1000: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5427
Iteration = 2000: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5427
Iteration = 500: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.001, Training MSE = 0.5428
Iteration = 1000: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.001, Training MSE = 0.5428
Iteration = 2000: alpha: 0.0001, Learning Rate = adaptive, eta0 = 0.001, Training MSE = 0.5428
Iteration = 500: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.01, Training MSE = 0.8018
Iteration = 1000: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.01, Training MSE = 0.8018
Iteration = 2000: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.01, Training MSE = 0.8018
Iteration = 500: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.8018
Iteration = 1000: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.8018
Iteration = 2000: alpha: 0.0001, Learning Rate = optimal, eta0 = 0.001, Training MSE = 0.8018
Iteration = 500: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 1000: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 2000: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.01, Training MSE = 0.5437
Iteration = 500: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5438
Iteration = 1000: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5438
Iteration = 2000: alpha: 0.0001, Learning Rate = invscaling, eta0 = 0.001, Training MSE = 0.5438
Iteration = 500: alpha: 0.001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5952
Iteration = 1000: alpha: 0.001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5952
Iteration = 2000: alpha: 0.001, Learning Rate = constant, eta0 = 0.01, Training MSE = 0.5952
Iteration = 500: alpha: 0.001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 1000: alpha: 0.001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 2000: alpha: 0.001, Learning Rate = constant, eta0 = 0.001, Training MSE = 0.5439
Iteration = 500: alpha: 0.001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5428
Iteration = 1000: alpha: 0.001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5428
Iteration = 2000: alpha: 0.001, Learning Rate = adaptive, eta0 = 0.01, Training MSE = 0.5428
Iteration = 500: alpha: 0.001, Learning Rate = adaptive, eta0 = 0.001, Training MSE = 0.5428
